stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
69155,8434,934,325,1034,0,0.0135056972641564,0.12195615709410608,1.0,0
51253,5734,283,222,1011,0,0.005521520271588559,0.11187419518476607,1.0,0
50695,3971,2,1013,3793,4,3.9450844248066906e-05,0.07832965125453685,0.2,0
57203,7611,292,478,1060,29,0.005104538144185721,0.13305013635410112,0.03333333333333333,0
29,4,10,1,1559,279,0.3333333333333333,0.13333333333333333,0.0035714285714285713,1
45,13,5,1,3272,606,0.10869565217391304,0.2826086956521739,0.0016474464579901153,1
16,3,2,1,1293,1286,0.11764705882352941,0.17647058823529413,0.000777000777000777,1
7,3,0,1,1117,1096,0.0,0.375,0.0009115770282588879,1
182878,46222,379,1523,1107,0,0.0020724085324176095,0.2527463514126827,1.0,0
3563,706,61,183,3367,812,0.01711560044893378,0.19809203142536475,0.0012300123001230013,1
189,74,0,6,3143,499,0.0,0.3894736842105263,0.002,1
3,3,0,1,1955,1955,0.0,0.75,0.0005112474437627812,1
153553,12451,2411,742,1978,5,0.015701316800604347,0.08108548132904385,0.16666666666666666,0
1,8,0,0,1674,1685,0.0,4.0,0.0005931198102016608,1
24,10,1,1,2427,2226,0.04,0.4,0.000449034575662326,1
60442,10736,245,1321,3410,0,0.004053405688003574,0.1776218916996178,1.0,0
70313,8395,306,282,1103,61,0.004351907159313935,0.11939300850470745,0.016129032258064516,0
19,2,0,2,1491,1484,0.0,0.1,0.0006734006734006734,1
11,2,0,0,3232,1116,0.0,0.16666666666666666,0.0008952551477170994,1
108,32,2,8,2238,2238,0.01834862385321101,0.29357798165137616,0.00044662795891022776,1
36,11,0,5,2459,2306,0.0,0.2972972972972973,0.00043346337234503684,1
9,2,0,1,3085,3069,0.0,0.2,0.0003257328990228013,1
5,3,0,3,3983,3982,0.0,0.5,0.00025106703489831785,1
49599,8619,90,584,483,8,0.0018145161290322581,0.17377016129032258,0.1111111111111111,0
17,8,0,1,2236,589,0.0,0.4444444444444444,0.001694915254237288,1
139956,10607,4119,2151,5626,36,0.029430467929435468,0.07578756332302064,0.02702702702702703,0
9,7,3,1,3589,3583,0.3,0.7,0.00027901785714285713,1
5,4,0,2,1999,1946,0.0,0.6666666666666666,0.0005136106831022085,1
63936,19740,317,1861,4017,0,0.004958005536700189,0.30874141733268684,1.0,0
11,26,0,1,2199,2199,0.0,2.1666666666666665,0.00045454545454545455,1
55084,13411,4,1524,3020,0,7.261504946900246e-05,0.24346010710719795,1.0,0
50492,6619,84,331,165,0,0.0016635969342285069,0.13108747747212485,1.0,0
55230,7311,68,529,1063,317,0.0012311926273288552,0.13237131321178325,0.0031446540880503146,0
146313,8659,925,461,1142,0,0.006322019765709365,0.05918093962300258,1.0,0
82732,12090,101,510,915,0,0.0012207946043295904,0.14613274026083908,1.0,0
26,10,0,4,2058,1038,0.0,0.37037037037037035,0.0009624639076034649,1
10,9,1,1,2911,2911,0.09090909090909091,0.8181818181818182,0.00034340659340659343,1
289300,27497,19,6096,4290,0,6.567554208246774e-05,0.09504633582324291,1.0,0
125,32,2,7,2484,226,0.015873015873015872,0.25396825396825395,0.004405286343612335,1
19,4,0,1,2276,2276,0.0,0.2,0.0004391743522178305,1
7,6,0,0,304,304,0.0,0.75,0.003278688524590164,1
13,4,1,2,3323,1962,0.07142857142857142,0.2857142857142857,0.0005094243504839531,1
144,25,2,3,1695,1452,0.013793103448275862,0.1724137931034483,0.0006882312456985547,1
44922,6015,7,341,2137,588,0.00015582218462702847,0.1338957772187966,0.001697792869269949,0
24,11,0,1,1857,1857,0.0,0.44,0.0005382131324004305,1
0,8,0,1,1753,1753,0.0,8.0,0.0005701254275940707,1
4,5,0,1,2939,2971,0.0,1.0,0.00033647375504710633,1
75,22,3,6,2757,2002,0.039473684210526314,0.2894736842105263,0.0004992511233150275,1
92696,5567,488,329,498,11,0.005264463790629686,0.06005588098859726,0.08333333333333333,0
46761,10057,140,218,1022,3,0.0029938839228433344,0.21506779008596724,0.25,0
56305,8457,712,513,952,1,0.012645188789827016,0.15019713707242568,0.5,0
11,7,1,1,1919,1609,0.08333333333333333,0.5833333333333334,0.0006211180124223603,1
68393,24168,803,1870,5134,0,0.011740795976255228,0.3533643302044039,1.0,0
72099,15366,30,3293,4273,12,0.00041608876560332873,0.21312066574202496,0.07692307692307693,0
48,8,0,2,1396,991,0.0,0.16326530612244897,0.0010080645161290322,1
50,21,3,3,2760,1205,0.058823529411764705,0.4117647058823529,0.0008291873963515755,1
16,5,0,2,3697,3150,0.0,0.29411764705882354,0.00031735956839098697,1
62833,1629,30,113,1216,0,0.00047744851513511794,0.025925454371836902,1.0,0
58319,8085,156,480,20,1,0.002674897119341564,0.13863168724279834,0.5,0
56242,13701,831,1545,3310,583,0.014775172021407108,0.24360364845402985,0.0017123287671232876,0
59564,9417,170,944,2497,18,0.0028540250146898345,0.15809619743137748,0.05263157894736842,0
33,10,0,1,832,826,0.0,0.29411764705882354,0.0012091898428053204,1
60984,11400,646,1758,5877,0,0.010592768713618103,0.18693121259326065,1.0,0
7,4,9,1,2079,279,1.125,0.5,0.0035714285714285713,1
177,47,3,4,1507,979,0.016853932584269662,0.2640449438202247,0.0010204081632653062,1
62877,5419,310,458,987,46,0.004930182257705398,0.08618276662743726,0.02127659574468085,0
55683,9492,339,497,1185,134,0.006087924718051864,0.1704618921054522,0.007407407407407408,0
8,4,0,4,2183,1354,0.0,0.4444444444444444,0.0007380073800738007,1
55526,9699,527,428,386,44,0.009490878311452086,0.17467178129558594,0.022222222222222223,0
10,6,2,1,1490,1419,0.18181818181818182,0.5454545454545454,0.0007042253521126761,1
26,18,0,5,3056,3055,0.0,0.6666666666666666,0.0003272251308900524,1
8,6,0,2,2206,2206,0.0,0.6666666666666666,0.00045310376076121433,1
4,4,0,2,3775,3782,0.0,0.8,0.0002643404705260375,1
55323,6026,49,1274,2176,12,0.0008856915624322175,0.10892198684115392,0.07692307692307693,0
50010,5965,390,240,324,0,0.007798284377436964,0.11927375977284997,1.0,0
60123,11474,101,952,2320,23,0.001679861619320072,0.1908389328720644,0.041666666666666664,0
16,4,0,1,2541,2055,0.0,0.23529411764705882,0.00048638132295719845,1
14,5,0,1,1833,1393,0.0,0.3333333333333333,0.0007173601147776184,1
778,264,8,21,1333,1318,0.010269576379974325,0.33889602053915274,0.000758150113722517,1
103769,15145,5,1101,697,10,4.818348270212971e-05,0.14594776910475088,0.09090909090909091,0
10,3,0,1,1644,1641,0.0,0.2727272727272727,0.0006090133982947625,1
1,5,1,0,2616,1300,0.5,2.5,0.0007686395080707148,1
52629,5070,78,259,117,3,0.0014820444613338401,0.0963328899866996,0.25,0
82962,7088,628,502,217,0,0.007569639477839519,0.08543567614478743,1.0,0
76390,16794,19,1955,3447,11,0.0002487203989998822,0.2198426516212643,0.08333333333333333,0
48255,19789,3576,1104,5694,0,0.07410477453580902,0.4100837201591512,1.0,0
46,12,0,1,722,421,0.0,0.2553191489361702,0.002369668246445498,1
11,2,0,1,2286,1034,0.0,0.16666666666666666,0.000966183574879227,1
8,5,0,12,3129,3034,0.0,0.5555555555555556,0.00032948929159802305,1
85576,7188,476,934,4023,1,0.005562242191242974,0.08399453124087079,0.5,0
16,6,1,3,2673,1400,0.058823529411764705,0.35294117647058826,0.0007137758743754461,1
14,3,0,0,2605,2514,0.0,0.2,0.00039761431411530816,1
107145,12347,3902,683,1165,0,0.036417598417113096,0.115235286431598,1.0,0
48094,10019,39,732,3235,1,0.0008108951034411061,0.20831687285580622,0.5,0
76553,12172,120,1107,3138,605,0.0015675209655929149,0.15899887660997467,0.0016501650165016502,0
65545,26854,2150,2107,5701,0,0.03280139138925335,0.40969700668232995,1.0,0
65936,13650,7,486,1094,5,0.00010616194246022719,0.207015787797443,0.16666666666666666,0
59272,9827,516,536,1137,424,0.00870548141649655,0.16579218193781317,0.002352941176470588,0
4,7,0,2,4679,4354,0.0,1.4,0.0002296211251435132,1
76405,8557,3170,331,836,0,0.041488888307201,0.11199382247467476,1.0,0
66166,6650,29,495,2040,64,0.00043828494566778,0.10050327202381852,0.015384615384615385,0
8,3,0,3,2639,2636,0.0,0.3333333333333333,0.0003792188092529389,1
128969,18239,249,565,902,0,0.0019306815538497324,0.14142048538419788,1.0,0
12,12,1,5,3949,3615,0.07692307692307693,0.9230769230769231,0.0002765486725663717,1
6,4,0,2,537,537,0.0,0.5714285714285714,0.0018587360594795538,1
189,41,1,13,3864,64,0.005263157894736842,0.21578947368421053,0.015384615384615385,1
73197,10042,263,528,2149,1,0.0035929943441077626,0.13718954069783326,0.5,0
7,5,0,1,3165,3165,0.0,0.625,0.0003158559696778269,1
84744,9811,191,415,512,1,0.0022538202843825593,0.11577084193757743,0.5,0
85879,37098,3475,1332,4574,0,0.040463437354448066,0.4319748486259897,1.0,0
104507,11520,594,724,186,2,0.005683775404753703,0.11023079572855667,0.3333333333333333,0
6,4,2,1,2299,1690,0.2857142857142857,0.5714285714285714,0.0005913660555884093,1
461,93,14,24,2353,549,0.030303030303030304,0.2012987012987013,0.0018181818181818182,1
49,23,0,10,2202,1372,0.0,0.46,0.0007283321194464676,1
147652,11262,311,4480,3614,0,0.0021062897469065985,0.07627342485421901,1.0,0
49849,22800,33,183,333,0,0.0006619859578736208,0.4573721163490471,1.0,0
47620,2162,108,843,3883,708,0.002267907015812352,0.045400138594317636,0.0014104372355430183,0
15,3,0,1,1371,337,0.0,0.1875,0.0029585798816568047,1
37,10,1,2,2166,2152,0.02631578947368421,0.2631578947368421,0.00046446818392940084,1
23,15,0,3,4919,4919,0.0,0.625,0.0002032520325203252,1
56,51,0,1,2195,2190,0.0,0.8947368421052632,0.00045641259698767686,1
71382,16760,3,2084,5834,3,4.202681310676212e-05,0.2347897958897777,0.25,0
1151,335,77,95,3325,1210,0.06684027777777778,0.2907986111111111,0.0008257638315441783,1
13,4,0,2,1484,1484,0.0,0.2857142857142857,0.0006734006734006734,1
55898,2078,310,525,2329,29,0.005545716381330614,0.03717418916259683,0.03333333333333333,0
96649,8955,168,726,2666,0,0.0017382307294361097,0.0926539058458355,1.0,0
96741,11932,118,717,1287,0,0.0012197390998738913,0.12333836389572264,1.0,0
77687,45198,1281,2656,3703,1,0.016489033055298117,0.5817886932344764,0.5,0
48494,4998,406,334,161,36,0.008371997113104443,0.10306217135787195,0.02702702702702703,0
140,26,36,9,2135,905,0.2553191489361702,0.18439716312056736,0.0011037527593818985,1
56834,9774,381,1352,4967,334,0.006703615729743996,0.17197149643705464,0.0029850746268656717,0
162028,30205,2471,1175,1313,25,0.015250356417678317,0.18641724629541626,0.038461538461538464,0
57387,4752,191,224,757,1,0.0033282219279291837,0.08280476754722242,0.5,0
2721,544,33,96,2212,706,0.012123438648052902,0.19985304922850844,0.0014144271570014145,1
79644,15143,45,1623,2775,686,0.0005650072195366941,0.1901312072320924,0.001455604075691412,0
4,3,0,1,2013,1683,0.0,0.6,0.0005938242280285036,1
62729,6400,41,329,687,2,0.00065359477124183,0.10202454965726128,0.3333333333333333,0
340411,55065,519,6822,3316,7,0.0015246231037683749,0.16175986745473134,0.125,0
139,26,0,2,1222,150,0.0,0.18571428571428572,0.006622516556291391,1
4,60,0,1,5328,5328,0.0,12.0,0.00018765246762994934,1
3,6,0,2,2376,2150,0.0,1.5,0.00046490004649000463,1
66320,8371,101,907,1001,65,0.0015228962168845463,0.12621944783703504,0.015151515151515152,0
57092,17447,44,378,2139,9,0.0007706724116791901,0.3055891265128825,0.1,0
493,161,2,29,3534,529,0.004048582995951417,0.3259109311740891,0.0018867924528301887,1
56167,6134,869,266,803,46,0.015471442814413901,0.10920809001566728,0.02127659574468085,0
81813,19014,45,1301,2367,90,0.0005500281125479747,0.23240521182193757,0.01098901098901099,0
3,5,1,1,1568,1271,0.25,1.25,0.0007861635220125787,1
63645,6270,74,431,1923,0,0.0011626810797222135,0.09851365364673349,1.0,0
107,45,2,12,3816,2327,0.018518518518518517,0.4166666666666667,0.000429553264604811,1
460,203,13,66,4714,2636,0.028199566160520606,0.4403470715835141,0.0003792188092529389,1
34,10,2,7,3346,2842,0.05714285714285714,0.2857142857142857,0.00035174111853675694,1
131332,21627,503,819,1257,0,0.0038299589592866987,0.16467300678428118,1.0,0
51527,8468,125,644,740,574,0.002425865548827822,0.16433783573979197,0.0017391304347826088,0
625,99,4,9,2178,1,0.006389776357827476,0.15814696485623003,0.5,1
1,6,0,1,3568,3568,0.0,3.0,0.0002801905295601009,1
4,3,0,4,2423,2108,0.0,0.6,0.000474158368895211,1
12,21,3,2,1923,691,0.23076923076923078,1.6153846153846154,0.001445086705202312,1
55,15,2,2,1554,1022,0.03571428571428571,0.26785714285714285,0.0009775171065493646,1
1000,350,23,23,3035,589,0.022977022977022976,0.34965034965034963,0.001694915254237288,0
1000,106,12,26,2305,1270,0.011988011988011988,0.10589410589410589,0.0007867820613690008,0
1000,197,65,13,734,0,0.06493506493506493,0.1968031968031968,1.0,0
1000,119,19,5,183,7,0.01898101898101898,0.11888111888111888,0.125,0
1000,42,3,20,653,122,0.002997002997002997,0.04195804195804196,0.008130081300813009,0
1000,60,7,8,977,476,0.006993006993006993,0.059940059940059943,0.0020964360587002098,0
1000,88,0,66,142,142,0.0,0.08791208791208792,0.006993006993006993,0
999,179,17,47,3111,1910,0.017,0.179,0.0005232862375719519,0
999,295,5,24,1081,25,0.005,0.295,0.038461538461538464,0
999,247,39,43,2506,494,0.039,0.247,0.00202020202020202,0
999,354,181,18,5125,269,0.181,0.354,0.003703703703703704,0
999,119,64,8,970,5,0.064,0.119,0.16666666666666666,0
999,84,46,50,1403,465,0.046,0.084,0.002145922746781116,0
999,109,17,19,3261,27,0.017,0.109,0.03571428571428571,0
999,120,19,73,3238,2937,0.019,0.12,0.0003403675970047651,0
999,248,51,33,3143,2567,0.051,0.248,0.0003894080996884735,0
998,409,18,44,5498,529,0.018018018018018018,0.4094094094094094,0.0018867924528301887,0
998,379,20,12,204,62,0.02002002002002002,0.3793793793793794,0.015873015873015872,0
998,212,9,48,2860,1411,0.009009009009009009,0.2122122122122122,0.000708215297450425,0
998,96,16,13,765,198,0.016016016016016016,0.0960960960960961,0.005025125628140704,0
998,113,1,39,1833,864,0.001001001001001001,0.11311311311311312,0.0011560693641618498,0
998,113,31,15,1079,7,0.031031031031031032,0.11311311311311312,0.125,0
998,133,35,16,1902,1,0.035035035035035036,0.13313313313313313,0.5,0
997,63,1,0,105,56,0.001002004008016032,0.06312625250501001,0.017543859649122806,0
997,121,10,18,818,720,0.01002004008016032,0.12124248496993988,0.0013869625520110957,0
997,113,30,17,3490,689,0.03006012024048096,0.11322645290581163,0.0014492753623188406,0
997,216,27,55,5040,642,0.027054108216432865,0.21643286573146292,0.0015552099533437014,0
997,487,17,58,2048,1248,0.017034068136272545,0.4879759519038076,0.0008006405124099279,0
997,129,34,22,1480,844,0.03406813627254509,0.12925851703406813,0.001183431952662722,0
996,358,104,32,3765,448,0.10431293881644935,0.35907723169508526,0.0022271714922048997,0
996,26,44,20,1652,0,0.044132397191574725,0.026078234704112337,1.0,0
996,60,131,11,1437,442,0.13139418254764293,0.06018054162487462,0.002257336343115124,0
996,291,34,51,2724,0,0.034102306920762285,0.29187562688064195,1.0,0
995,107,22,31,2573,248,0.02208835341365462,0.10742971887550201,0.004016064257028112,0
995,69,1,22,1019,65,0.001004016064257028,0.06927710843373494,0.015151515151515152,0
995,247,420,54,3123,857,0.42168674698795183,0.24799196787148595,0.0011655011655011655,0
995,117,36,16,1458,402,0.03614457831325301,0.11746987951807229,0.0024813895781637717,0
995,199,164,16,4522,18,0.1646586345381526,0.19979919678714858,0.05263157894736842,0
995,173,8,18,437,404,0.008032128514056224,0.17369477911646586,0.0024691358024691358,0
995,238,0,4,1130,28,0.0,0.2389558232931727,0.034482758620689655,0
995,140,101,20,2146,996,0.10140562248995984,0.14056224899598393,0.0010030090270812437,0
995,128,18,25,2360,598,0.018072289156626505,0.1285140562248996,0.001669449081803005,0
994,348,2,20,3109,1600,0.0020100502512562816,0.349748743718593,0.0006246096189881324,0
994,73,11,19,1354,465,0.011055276381909548,0.07336683417085427,0.002145922746781116,0
994,88,18,4,923,9,0.018090452261306532,0.08844221105527639,0.1,0
994,76,9,14,1085,629,0.009045226130653266,0.0763819095477387,0.0015873015873015873,0
994,69,51,13,995,481,0.05125628140703518,0.06934673366834171,0.002074688796680498,0
994,219,23,6,2928,1132,0.023115577889447236,0.2201005025125628,0.00088261253309797,0
994,117,45,34,1514,641,0.04522613065326633,0.11758793969849246,0.001557632398753894,0
994,82,4,11,683,334,0.004020100502512563,0.08241206030150754,0.0029850746268656717,0
994,63,11,12,1119,109,0.011055276381909548,0.06331658291457286,0.00909090909090909,0
994,289,3,53,3669,1479,0.003015075376884422,0.2904522613065327,0.0006756756756756757,0
993,383,16,67,2514,78,0.01609657947686117,0.3853118712273642,0.012658227848101266,0
993,155,6,3,64,64,0.006036217303822937,0.15593561368209255,0.015384615384615385,0
993,167,74,19,3762,968,0.0744466800804829,0.16800804828973842,0.0010319917440660474,0
993,112,7,11,1018,499,0.007042253521126761,0.11267605633802817,0.002,0
993,70,280,16,466,0,0.28169014084507044,0.07042253521126761,1.0,0
993,91,12,10,412,0,0.012072434607645875,0.09154929577464789,1.0,0
992,127,14,20,2382,1069,0.014098690835850957,0.12789526686807653,0.0009345794392523365,0
992,281,1,14,2362,2242,0.0010070493454179255,0.28298086606243705,0.00044583147570218456,0
992,356,21,65,2676,315,0.021148036253776436,0.35850956696878145,0.0031645569620253164,0
992,151,10,39,2962,969,0.010070493454179255,0.15206445115810674,0.0010309278350515464,0
992,148,8,16,313,300,0.008056394763343404,0.14904330312185296,0.0033222591362126247,0
992,141,0,7,1671,6,0.0,0.1419939577039275,0.14285714285714285,0
992,63,13,8,1144,1011,0.013091641490433032,0.0634441087613293,0.0009881422924901185,0
991,628,480,66,5363,1,0.4838709677419355,0.6330645161290323,0.5,0
991,72,48,14,830,2,0.04838709677419355,0.07258064516129033,0.3333333333333333,0
991,126,18,9,2627,533,0.018145161290322582,0.12701612903225806,0.0018726591760299626,0
991,219,14,11,3149,2354,0.014112903225806451,0.22076612903225806,0.0004246284501061571,0
990,206,12,15,2951,809,0.012108980827447022,0.20787083753784055,0.0012345679012345679,0
990,255,29,106,3267,1694,0.029263370332996974,0.25731584258324924,0.0005899705014749262,0
990,232,23,28,3660,1583,0.02320887991927346,0.2341069626639758,0.0006313131313131314,0
990,122,17,26,4688,1060,0.017154389505549948,0.1231079717457114,0.000942507068803016,0
990,190,101,62,4151,0,0.10191725529767912,0.1917255297679112,1.0,0
990,65,45,25,710,497,0.045408678102926335,0.06559031281533804,0.002008032128514056,0
990,175,28,20,3839,74,0.028254288597376387,0.17658930373360243,0.013333333333333334,0
990,802,155,51,2866,393,0.15640766902119072,0.8092835519677094,0.0025380710659898475,0
990,280,225,25,3354,64,0.22704339051463168,0.28254288597376387,0.015384615384615385,0
990,124,5,18,506,14,0.005045408678102927,0.12512613521695257,0.06666666666666667,0
989,57,8,12,1039,787,0.00808080808080808,0.05757575757575758,0.0012690355329949238,0
989,180,62,47,5660,894,0.06262626262626263,0.18181818181818182,0.0011173184357541898,0
989,224,45,54,3332,233,0.045454545454545456,0.22626262626262628,0.004273504273504274,0
989,283,167,20,316,1,0.1686868686868687,0.28585858585858587,0.5,0
