stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
3,0,0,1,1510,322,0.0,0.0,0.0030959752321981426,1
3,3,1,1,389,389,0.25,0.75,0.002564102564102564,1
5,1,0,0,300,58,0.0,0.16666666666666666,0.01694915254237288,1
2,0,0,1,771,771,0.0,0.0,0.0012953367875647669,1
3,0,0,1,1765,713,0.0,0.0,0.0014005602240896359,1
2,0,0,1,911,854,0.0,0.0,0.0011695906432748538,1
2,0,0,1,1158,1158,0.0,0.0,0.0008628127696289905,1
2,0,0,1,1052,744,0.0,0.0,0.0013422818791946308,1
3,0,0,1,610,610,0.0,0.0,0.0016366612111292963,1
3,0,0,1,364,364,0.0,0.0,0.0027397260273972603,1
2,0,0,1,513,27,0.0,0.0,0.03571428571428571,1
2,1,0,0,97,97,0.0,0.3333333333333333,0.01020408163265306,1
2,0,0,1,729,729,0.0,0.0,0.0013698630136986301,1
2,0,0,1,641,332,0.0,0.0,0.003003003003003003,1
3,0,0,1,488,488,0.0,0.0,0.002044989775051125,1
2,0,0,1,1171,1169,0.0,0.0,0.0008547008547008547,1
29,4,6,2,1513,847,0.2,0.13333333333333333,0.0011792452830188679,1
3,0,0,1,352,82,0.0,0.0,0.012048192771084338,1
2,0,0,0,218,217,0.0,0.0,0.0045871559633027525,1
2,0,0,1,742,742,0.0,0.0,0.0013458950201884253,1
2,0,0,1,1137,1137,0.0,0.0,0.0008787346221441124,1
2,0,0,1,439,438,0.0,0.0,0.002277904328018223,1
